Company,Contact Name,Contact Email,Contact Phone,Street Address,City,State,Zip / Postal,Country,Slips,Stage,Source,Segment,Tags,Notes,Next Step,Due Date,Deal Amount,Probability %,Hardware $,Software $,Services $,Value Driver,Est. Pedestals,Est. Slips Impacted,Est. Close Date,Competitors,Created At,Industry,Relationship Type,Conversion Target,Research Status,Added By Enrichment,Power Service Found,30A Shore Power,50A+ Shore Power,Fuel Dock,Pumpout,Transient Moorage,Marina Size / Moorage Notes,Primary Source URL,Additional Source URLs,Research Notes,QA Confidence,Last Researched,Address Source URL,Address Research Status,Address Confidence
Bridges Marina,Marina Contact,,,,Delta,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Burrard Civic Marina,Marina Contact,,,,Metro Vancouver Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Burrard Yacht Club,Marina Contact,,,,Metro Vancouver Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Canadian Princess Marina,Marina Contact,,,,Regional District of Alberni-Clayoquot,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Canoe Cove Marina & Boatyard,Marina Contact,,,,Capital Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Capital City Yacht Club,Marina Contact,,,,Capital Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Captain's Cove Marina - Work Yard,Marina Contact,,,,Metro Vancouver Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Cedar Grove Marina & Custom Yacht Sales,Marina Contact,,,,Capital Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Centennial Park Boat Launch & Moorage,Marina Contact,,,,Regional District of Alberni-Clayoquot,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Centennial Pier -Port Alberni,Marina Contact,,,,Regional District of Alberni-Clayoquot,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Cheanuh Marina,Marina Contact,,,4901B East Sooke Rd,Capital Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.predictwind.com/marinas/canada/british-columbia,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.predictwind.com/marinas/canada/british-columbia,Populated from PredictWind BC marina directory,medium
Cherry Point Marina,Marina Contact,,,1241 Sutherland Dr,Cowichan Valley Regional District,British Columbia,V0R 1N2,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.predictwind.com/marinas/canada/british-columbia,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.predictwind.com/marinas/canada/british-columbia,Populated from PredictWind BC marina directory,high
China Creek Campground and Marina,Marina Contact,,,,Regional District of Alberni-Clayoquot,British Columbia,,CA,88,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,Electrical service listed,Unknown,Unknown,Yes,Yes,Yes,"88-slip marina; electrical, pump-out, and fuel dock listed.",https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Clutesi Haven Marina,Marina Contact,,,,Regional District of Alberni-Clayoquot,British Columbia,,CA,165 vessels,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,Hydro / water listed,Unknown,Unknown,Unknown,Unknown,Yes,Protected public harbour; moorage for 165 vessels; hydro and water listed.,https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Coal Harbour Marina,Marina Contact,,,1525 Coal Harbour Quay,Metro Vancouver Regional District,British Columbia,V6G 3E7,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://coalharbourmarina.com/,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://coalharbourmarina.com/,Populated from Coal Harbour Marina public address,high
Coast Marina,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,30A,Yes,Unknown,,,Yes,30 amp power; max length 80 ft listed.,https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Coast Victoria Hotel & Marina,Marina Contact,,,146 Kingston St,Capital Regional District,British Columbia,V8V 1V4,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.coasthotels.com/coast-victoria-hotel-and-marina-by-apa,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.coasthotels.com/coast-victoria-hotel-and-marina-by-apa,Populated from Coast Victoria Hotel public address,high
Coho Marina Resort,Marina Contact,,,,Sunshine Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Comox Municipal Marina,Marina Contact,,,121 Port Augusta St,Comox Valley Regional District,British Columbia,V9M 3N8,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://comox.ca/,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://comox.ca/,Populated from Town of Comox marina public address,medium
Comox Valley Harbour Authority,Marina Contact,,,,Comox Valley Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Cowbay Harbour,Marina Contact,,,,Skeena-Queen Charlotte Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Cowichan Bay Fishermen's Wharf Assn,Marina Contact,,,1699 Cowichan Bay Rd,Cowichan Valley Regional District,British Columbia,V0R 1N0,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.predictwind.com/marinas/canada/british-columbia,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.predictwind.com/marinas/canada/british-columbia,Populated from PredictWind BC marina directory,high
Cowichan Bay Marina Ltd,Marina Contact,,,1721 Cowichan Bay Rd,Cowichan Valley Regional District,British Columbia,V0R 1N0,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://www.predictwind.com/marinas/canada/british-columbia,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://www.predictwind.com/marinas/canada/british-columbia,Populated from PredictWind BC marina directory,high
Crescent Beach Marina,Marina Contact,,,,Metro Vancouver Regional District,British Columbia,,CA,235,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,15A / 30A,Yes,No / not found,Unknown,Unknown,Yes,235 slips with 15/30 amp service listed.,https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Critter Cove Marina,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Crofton Harbour,Marina Contact,,,,Cowichan Valley Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Dawsons Landing Marina,Marina Contact,,,,Central Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
DEEP BAY MARINA,Marina Contact,,,,Regional District of Nanaimo,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Deep Cove Marina,Marina Contact,,,,Capital Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
DEEP COVE NORTH SHORE MARINA,Marina Contact,,,10990 Madrona Dr,North Vancouver,British Columbia,V7G 1B8,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,https://deepcovemarina.com/,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,https://deepcovemarina.com/,Populated from Deep Cove North Shore Marina public address,medium
Degnen Bay Government Wharf,Marina Contact,,,,Regional District of Nanaimo,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
DelKatla Slough Harbour Authority,Marina Contact,,,,Skeena-Queen Charlotte Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Denham Bay Wilderness Retreat,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Dent Island Lodge,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,15A / 30A / 50A / 100A,Yes,Yes,Unknown,Unknown,Yes,15/30/50/100 amp service listed.,https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Discovery Harbour Authority,Marina Contact,,,,Strathcona Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Duncanby Lodge & Marina,Marina Contact,,,,Central Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,30A / 50A,Yes,Yes,Yes,Unknown,Yes,30/50 amp service and fuel listed.,https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
"Duncanby Lodge & Marina, Rivers Inlet, BC",Marina Contact,,,,Central Coast Regional District,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Eagle Nook Resort,Marina Contact,,,,Regional District of Alberni-Clayoquot,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - not individually reverified,No,,,,,,,,,,Existing CRM row carried forward; not individually enriched in this first pass.,low,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
Echo Bay Marina and Lodge Status,Marina Contact,,,,Echo Bay,British Columbia,,CA,-,new,marina_directory,,,,,,,,,,,,,,,,Sat Feb 28 2026 03:36:37 GMT+0000 (Coordinated Universal Time),marine,,,existing - enriched from web,No,15A / 30A,Yes,No / not found,Unknown,Unknown,Yes,15/30 amp service listed.,https://www.predictwind.com/marinas/canada/british-columbia,,,medium,2026-05-21,,Not populated in this pass - needs manual web/phone verification,
