row_num,csv_company,csv_city,csv_state,action,match_type,lead_id,account_id,match_reason,fields_updated,fields_skipped,notes_appended,conflict_note
56,Dent Island Lodge,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10334,316,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10334 also matches — review for merge
57,Discovery Harbour Authority,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10335,317,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10335 also matches — review for merge
58,Duncanby Lodge & Marina,Central Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10336,318,name+province,country=Canada,city(db:Central Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10336 also matches — review for merge
59,"Duncanby Lodge & Marina, Rivers Inlet, BC",Central Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10337,319,name+province,country=Canada,city(db:Central Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10337 also matches — review for merge
60,Eagle Nook Resort,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10338,320,name+province,country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10338 also matches — review for merge
61,Echo Bay Marina and Lodge Status,Echo Bay,British Columbia,CONFLICT_REVIEW,Both,10339,321,name+province,country=Canada,city(db:Echo Bay) | state_province(db:British Columbia),Yes,Lead #10339 also matches — review for merge
62,Fair Harbour Marina and Campground,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10340,322,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10340 also matches — review for merge
63,Fairwinds Marina,Regional District of Nanaimo,British Columbia,CONFLICT_REVIEW,Both,10341,323,name+province,street_address=3521 Dolphin Dr | postal_zip=V9P 9K1 | country=Canada,city(db:Regional District of Nanaimo) | state_province(db:British Columbia),Yes,Lead #10341 also matches — review for merge
64,False Creek Harbour Authority - Fishermen's Wharf,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10342,324,name+province,country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10342 also matches — review for merge
65,False Creek Yacht Club,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10343,325,name+province,street_address=1661 Granville St | postal_zip=V6Z 1L8 | country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10343 also matches — review for merge
66,Fisherman's Wharf,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10344,326,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10344 also matches — review for merge
67,Fishermen's Harbour -Port Alberni,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10345,327,name+province,country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10345 also matches — review for merge
68,Ford Cove Harbour Authority,Comox Valley Regional District,British Columbia,CONFLICT_REVIEW,Both,10346,328,name+province,country=Canada,city(db:Comox Valley Regional District) | state_province(db:British Columbia),Yes,Lead #10346 also matches — review for merge
69,Freshwater Marina,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10347,329,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10347 also matches — review for merge
70,Gallaugher's Sports Fishing Camp,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10348,330,name+province,country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10348 also matches — review for merge
71,Ganges Centennial Harbour,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10349,331,name+province,country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10349 also matches — review for merge
72,Ganges Kanaka Harbour,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10350,332,name+province,country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10350 also matches — review for merge
73,Ganges Marina & Fuel Dock,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10351,333,name+province,street_address=161 Lower Ganges Rd | postal_zip=V8K 2T2 | country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10351 also matches — review for merge
74,Genoa Bay Marina,Cowichan Valley Regional District,British Columbia,CONFLICT_REVIEW,Both,10352,334,name+province,street_address=5000 Genoa Bay Rd | postal_zip=V9L 5Y6 | country=Canada,city(db:Cowichan Valley Regional District) | state_province(db:British Columbia),Yes,Lead #10352 also matches — review for merge
75,Gibsons Landing Harbour Authority,Sunshine Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10353,335,name+province,country=Canada,city(db:Sunshine Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10353 also matches — review for merge
76,Gibsons Marina,Sunshine Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10354,336,name+province,street_address=675 Prowse Rd | postal_zip=V0N 1V0 | country=Canada,city(db:Sunshine Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10354 also matches — review for merge
77,Goldstream Boathouse Marina,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10355,337,name+province,country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10355 also matches — review for merge
78,Gorge Harbour Marina,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10356,338,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10356 also matches — review for merge
79,Great Central Lake Rv Resort & Marina,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10357,339,name+province,country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10357 also matches — review for merge
80,Harbour Authority of French Creek,Regional District of Nanaimo,British Columbia,CONFLICT_REVIEW,Both,10358,340,name+province,country=Canada,city(db:Regional District of Nanaimo) | state_province(db:British Columbia),Yes,Lead #10358 also matches — review for merge
81,Harbour Authority of Pender Harbou-Secret Cove,Sunshine Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10359,341,name+province,country=Canada,city(db:Sunshine Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10359 also matches — review for merge
82,Harbour Authority of Pender Harbour-Hospital Bay,Sunshine Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10360,342,name+province,country=Canada,city(db:Sunshine Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10360 also matches — review for merge
83,Harbour Authority of Pender Harbour-Whiskey Slough,Sunshine Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10361,343,name+province,country=Canada,city(db:Sunshine Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10361 also matches — review for merge
84,Harbour Authority of Pender- Madeira Park,Sunshine Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10362,344,name+province,country=Canada,city(db:Sunshine Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10362 also matches — review for merge
85,Harbour Haven,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10363,345,name+province,street_address=2270 Harbour Rd | postal_zip=V8L 2P6 | country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10363 also matches — review for merge
86,Harbour Quay Marina - Port Albertini,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10364,346,name+province,country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10364 also matches — review for merge
87,Harbourside Lodge,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10365,347,name+province,country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10365 also matches — review for merge
88,Hartley Bay,Skeena-Queen Charlotte Regional District,British Columbia,CONFLICT_REVIEW,Both,10366,348,name+province,country=Canada,city(db:Skeena-Queen Charlotte Regional Dis) | state_province(db:British Columbia),Yes,Lead #10366 also matches — review for merge
89,Heather Civic Marina,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10367,349,name+province,country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10367 also matches — review for merge
90,Heriot Bay harbour,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10368,350,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10368 also matches — review for merge
91,HERIOT BAY INN marina,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10369,351,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10369 also matches — review for merge
92,Heritage Harbour Marina,Vancouver,British Columbia,CONFLICT_REVIEW,Both,10370,352,name+province,country=Canada,city(db:Vancouver) | state_province(db:British Columbia),Yes,Lead #10370 also matches — review for merge
93,Hidden Harbour- Victoria,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10371,353,name+province,country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10371 also matches — review for merge
94,Inner Harbour Causeway / Ship Point,Capital Regional District,British Columbia,CONFLICT_REVIEW,Both,10372,354,name+province,country=Canada,city(db:Capital Regional District) | state_province(db:British Columbia),Yes,Lead #10372 also matches — review for merge
95,Island West Resort,Regional District of Alberni-Clayoquot,British Columbia,CONFLICT_REVIEW,Both,10373,355,name+province,country=Canada,city(db:Regional District of Alberni-Clayoq) | state_province(db:British Columbia),Yes,Lead #10373 also matches — review for merge
96,JENNIS BAY MARINA,Regional District of Mount Waddington,British Columbia,CONFLICT_REVIEW,Both,10374,356,name+province,country=Canada,city(db:Regional District of Mount Waddingt) | state_province(db:British Columbia),Yes,Lead #10374 also matches — review for merge
97,Jeune Landing Marina,Regional District of Mount Waddington,British Columbia,CONFLICT_REVIEW,Both,10375,357,name+province,street_address=Port Alice | postal_zip=V0N 2N0 | country=Canada,city(db:Regional District of Mount Waddingt) | state_province(db:British Columbia),Yes,Lead #10375 also matches — review for merge
98,John Henry's Marina & Resort,Sunshine Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10376,358,name+province,country=Canada,city(db:Sunshine Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10376 also matches — review for merge
99,Kelsey Bay Marina,Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10377,359,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10377 also matches — review for merge
100,"Kelsey Bay Small Craft Harbour, DFO",Strathcona Regional District,British Columbia,CONFLICT_REVIEW,Both,10378,360,name+province,country=Canada,city(db:Strathcona Regional District) | state_province(db:British Columbia),Yes,Lead #10378 also matches — review for merge
101,Kwatsi Bay,Regional District of Mount Waddington,British Columbia,CONFLICT_REVIEW,Both,10379,361,name+province,country=Canada,city(db:Regional District of Mount Waddingt) | state_province(db:British Columbia),Yes,Lead #10379 also matches — review for merge
102,Ladner Harbour Authority-Ladner Harbour Boat Basin,Delta,British Columbia,CONFLICT_REVIEW,Both,10380,362,name+province,country=Canada,city(db:Delta) | state_province(db:British Columbia),Yes,Lead #10380 also matches — review for merge
103,Ladner Harbour-Ladner Wharf (5000 Elliott Street),Delta,British Columbia,CONFLICT_REVIEW,Both,10381,363,name+province,country=Canada,city(db:Delta) | state_province(db:British Columbia),Yes,Lead #10381 also matches — review for merge
104,Ladner Yacht Club,Delta,British Columbia,CONFLICT_REVIEW,Both,10382,364,name+province,country=Canada,city(db:Delta) | state_province(db:British Columbia),Yes,Lead #10382 also matches — review for merge
105,Ladysmith Marina,Cowichan Valley Regional District,British Columbia,CONFLICT_REVIEW,Both,10383,365,name+province,country=Canada,city(db:Cowichan Valley Regional District) | state_province(db:British Columbia),Yes,Lead #10383 also matches — review for merge
106,Lions Bay Marina,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10384,366,name+province,country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10384 also matches — review for merge
107,Little Bay Resort,Sunshine Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10385,367,name+province,country=Canada,city(db:Sunshine Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10385 also matches — review for merge
108,Lund harbour,Powell River Regional District,British Columbia,CONFLICT_REVIEW,Both,10386,368,name+province,country=Canada,city(db:Powell River Regional District) | state_province(db:British Columbia),Yes,Lead #10386 also matches — review for merge
109,Lynnwood Marina & Boatyard,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10387,369,name+province,country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10387 also matches — review for merge
110,Maple Bay Marina,Cowichan Valley Regional District,British Columbia,CONFLICT_REVIEW,Both,10388,370,name+province,street_address=6145 Genoa Bay Rd | postal_zip=V9L 5T7 | country=Canada,city(db:Cowichan Valley Regional District) | state_province(db:British Columbia),Yes,Lead #10388 also matches — review for merge
111,Marble Bay Marina,Powell River Regional District,British Columbia,CONFLICT_REVIEW,Both,10389,371,name+province,country=Canada,city(db:Powell River Regional District) | state_province(db:British Columbia),Yes,Lead #10389 also matches — review for merge
112,Marina Park Marina,Capital Regional District,British Columbia,CREATE_LEAD,New Lead,,,none,(none),(none),Yes,
113,Maritime Market & Marina Ltd,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10391,373,name+province,country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10391 also matches — review for merge
114,Martins Marina,Central Coast Regional District,British Columbia,CONFLICT_REVIEW,Both,10392,374,name+province,country=Canada,city(db:Central Coast Regional District) | state_province(db:British Columbia),Yes,Lead #10392 also matches — review for merge
115,Masset Marina,Skeena-Queen Charlotte Regional District,British Columbia,CONFLICT_REVIEW,Both,10393,375,name+province,country=Canada,city(db:Skeena-Queen Charlotte Regional Dis) | state_province(db:British Columbia),Yes,Lead #10393 also matches — review for merge
116,Mill Bay Marina,Mill Bay,British Columbia,CONFLICT_REVIEW,Both,10394,376,name+province,street_address=740 Handy Rd | postal_zip=V0R 2P1 | country=Canada,city(db:Mill Bay) | state_province(db:British Columbia),Yes,Lead #10394 also matches — review for merge
117,Milltown Marina & Boatyard,Metro Vancouver Regional District,British Columbia,CONFLICT_REVIEW,Both,10395,377,name+province,street_address=9191 Bentley St | postal_zip=V6P 0B9 | country=Canada,city(db:Metro Vancouver Regional District) | state_province(db:British Columbia),Yes,Lead #10395 also matches — review for merge
