action,cms_account_id,name,legal_name,website,street_address,city,state_province,postal_zip,country,region,timezone,latitude,longitude,segment,marina_type,ownership_type,parent_company,slip_count,slip_mix,avg_boat_size_range,power_demand_intensity,seasonality,expansion_plans,expansion_notes,contact_name,contact_title,contact_email,contact_phone,contact_linkedin,tags,notes,lead_source
EXISTING,7087,Dauphin Island Marina in,,,650 LeMoyne Dr,Dauphin Island,Alabama,36528,US,,,,,Less than 100,,,,90,,,,,false,,,,,,,,,marina_directory
EXISTING,10507,Brickyard Landing Marina in,,,"800 Island Way, NW",Decatur,Alabama,35601,US,,,,,Less than 100,,,,10,,,,,false,,,,,,,,,marina_directory
EXISTING,420,"Jay Landings Marina, Inc. in",,,1600 Highway 20,Decatur,Alabama,35601,US,,,,,100 to 300,,,,100,,,,,false,,,,,,,,,marina_directory
EXISTING,6775,Port Of Decatur in,,,"500 Market Street, NW",Decatur,Alabama,35602,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,7025,Kingfisher Bay Marina in,,,130 YACHT BASIN DRIVE,Demopolis,Alabama,36732,US,,,,,Less than 100,,,,95,,,,,false,,,,,,,,,marina_directory
EXISTING,7980,Kingfisher Bay Marina in,,,201 Lock 4 Road,Demopolis,Alabama,36732,US,,,,,Less than 100,,,,60,,,,,false,,,,,,,,,marina_directory
EXISTING,9324,Anchor Bay Marina in,,,2001 Castaway Island Road,Eclectic,Alabama,36024,US,,,,,Less than 100,,,,30,,,,,false,,,,,,,,,marina_directory
EXISTING,6051,Barber Marina  in,,,26986 Fish trap Rd.,Elberta,Alabama,36530,US,,,,,100 to 300,,,,155,,,,,false,,,,,,,,,marina_directory
EXISTING,10160,Pirates Cove Marina & Boat Yard in,,,6664 County Road 95,Elberta,Alabama,36530-5724,US,,,,,Less than 100,,,,16,,,,,false,,,,,,,,,marina_directory
EXISTING,5779,Parker Creek Marina in,,,8300 Parker Creek Marina Rd,Equality,Alabama,36026,US,,,,,100 to 300,,,,184,,,,,false,,,,,,,,,marina_directory
EXISTING,9867,Real Island Marina in,,,2700 Real Island Rd,Equality,Alabama,36026,US,,,,,Less than 100,,,,20,,,,,false,,,,,,,,,marina_directory
EXISTING,8176,Chewalla Creek Marina in,,,580 Chewalla Rd,Eufaula,Alabama,36027,US,,,,,Less than 100,,,,56,,,,,false,,,,,,,,,marina_directory
EXISTING,6090,Lakepoint State Park Lodge in,,,104 Old Hwy 165,Eufaula,Alabama,36027,US,,,,,100 to 300,,,,150,,,,,false,,,,,,,,,marina_directory
EXISTING,7219,Fairhope Docks Marina in,,,848 Seacliff Drive,Fairhope,Alabama,36532,US,,,,,Less than 100,,,,85,,,,,false,,,,,,,,,marina_directory
EXISTING,9485,Fairhope Municipal Pier in,,,1 Beach Dr,Fairhope,Alabama,36532,US,,,,,Less than 100,,,,29,,,,,false,,,,,,,,,marina_directory
EXISTING,6399,Fairhope Yacht Club in,,,101 Volanta Ave,Fairhope,Alabama,36532,US,,,,,100 to 300,,,,130,,,,,false,,,,,,,,,marina_directory
EXISTING,7949,Fly Creek Marina in,,,831 N Section St,Fairhope,Alabama,36532,US,,,,,Less than 100,,,,62,,,,,false,,,,,,,,,marina_directory
EXISTING,10330,River Park Marina in,,,16542 Ferry Rd,Fairhope,Alabama,36532,US,,,,,Less than 100,,,,14,,,,,false,,,,,,,,,marina_directory
EXISTING,6722,Florence Harbor Marina in,,,1050 Clayborn Liles Drive,Florence,Alabama,35630,US,,,,,100 to 300,,,,110,,,,,false,,,,,,,,,marina_directory
EXISTING,9323,Waterfront Marina & Dry Storage in,,,4451 Florence Blvd.,Florence,Alabama,35634,US,,,,,Less than 100,,,,30,,,,,false,,,,,,,,,marina_directory
EXISTING,8845,Uchee Creek Campground and Marina in,,,7 Uchee Creek Road,Ft. Mitchell,Alabama,,US,,,,,Less than 100,,,,40,,,,,false,,,,,,,,,marina_directory
EXISTING,1411,Snug Harbor Marina in,,,50 Snug Harbor Rd,Grant,Alabama,35747,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,10782,Sunrise Marina in,,,28571 U.S Hwy 431,Grant,Alabama,35747,US,,,,,Less than 100,,,,6,,,,,false,,,,,,,,,marina_directory
EXISTING,7661,Fort Morgan Marina in,,,1577 State Highway 180,Gulf Shores,Alabama,36542,US,,,,,Less than 100,,,,70,,,,,false,,,,,,,,,marina_directory
EXISTING,7466,Homeport Marina in,,,200 A East 25th Ave,Gulf Shores,Alabama,36542,US,,,,,Less than 100,,,,76,,,,,false,,,,,,,,,marina_directory
EXISTING,9326,Legendary Marina & Yacht Club at Gulf Shores in,,,335 Waterway W Blvd,Gulf Shores,Alabama,36542,US,,,,,Less than 100,,,,30,,,,,false,,,,,,,,,marina_directory
EXISTING,9862,Nelson Boat Yard in,,,16800 Nelson Ln,Gulf Shores,Alabama,36542,US,,,,,Less than 100,,,,20,,,,,false,,,,,,,,,marina_directory
EXISTING,9603,Saunders Yachtworks in,,,605 Waterway East Blvd.,Gulf Shores,Alabama,36542,US,,,,,Less than 100,,,,25,,,,,false,,,,,,,,,marina_directory
EXISTING,5371,Alred Marina in,,,351 Marina Road,Guntersville,Alabama,35976-8658,US,,,,,100 to 300,,,,240,,,,,false,,,,,,,,,marina_directory
EXISTING,1396,Covenant Cove Marina - CLOSED - in,,,7001 Val-Monte Dr,Guntersville,Alabama,35976,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,5761,Guntersville Marina in,,,100 Marina Lane,Guntersville,Alabama,35976,US,,,,,100 to 300,,,,186,,,,,false,,,,,,,,,marina_directory
EXISTING,6257,Lake Guntersville Marina & Sailing Club in,,,21500 US-431,Guntersville,Alabama,35976,US,,,,,100 to 300,,,,144,,,,,false,,,,,,,,,marina_directory
EXISTING,6773,Lake Guntersville Yacht Club in,,,498 Yacht Club Rd,Guntersville,Alabama,35976,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,6089,North Alabama Sailing Marina in,,,100 Browns Creek Rd,Guntersville,Alabama,35976,US,,,,,100 to 300,,,,150,,,,,false,,,,,,,,,marina_directory
EXISTING,8631,River Bend Marina in,,,133 Riverbend Cir,Guntersville,Alabama,35976,US,,,,,Less than 100,,,,46,,,,,false,,,,,,,,,marina_directory
EXISTING,7089,Spring Creek Marina in,,,14451 U.S. Highway 431 South,Guntersville,Alabama,35976,US,,,,,Less than 100,,,,90,,,,,false,,,,,,,,,marina_directory
EXISTING,10329,Hames Marina in,,,850 County Road 248,Hanceville,Alabama,35077,US,,,,,Less than 100,,,,14,,,,,false,,,,,,,,,marina_directory
EXISTING,7950,Cockrell's Marine Railway in,,,309 Railway Rd.,Heathsville,Alabama,22473,US,,,,,Less than 100,,,,62,,,,,false,,,,,,,,,marina_directory
EXISTING,5563,Ditto Landing Marina in,,,293 Ditto Landing Road,Huntsville,Alabama,35803-6047,US,,,,,100 to 300,,,,200,,,,,false,,,,,,,,,marina_directory
EXISTING,1403,Great Bend Yacht Club Marina in,,,114 Railway Ln SE,Huntsville,Alabama,35803,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,7985,Whitesburg Boat and Yacht Club in,,,146 Harbor Rd SE,Huntsville,Alabama,35803,US,,,,,Less than 100,,,,60,,,,,false,,,,,,,,,marina_directory
EXISTING,1405,Lakeside Marina at Bay Pines in,,,3455 Bay Pine Rd,Jacksons' Gap,Alabama,36861,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1393,Emerald Beach Marina in,,,101 Lakeshore Drive,Killen,Alabama,35645,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,9203,Muscle Shoals Sailing Club in,,,1350 County Road 411,Killen,Alabama,35645,US,,,,,Less than 100,,,,34,,,,,false,,,,,,,,,marina_directory
EXISTING,5564,Southern Harbor Resort and Marina in,,,1133 County Road 294,Lanett,Alabama,36863,US,,,,,100 to 300,,,,200,,,,,false,,,,,,,,,marina_directory
EXISTING,6772,South Sauty Creek Resort and Marina in,,,6845 South Sauty Road,Langston,Alabama,35755,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,8369,Pine Cone Marina in,,,470 Pine Cone St,Leesburg,Alabama,35983,US,,,,,Less than 100,,,,50,,,,,false,,,,,,,,,marina_directory
EXISTING,7983,Rome Sailing Club in,,,235 Cherokee County 564,Leesburg,Alabama,35983,US,,,,,Less than 100,,,,60,,,,,false,,,,,,,,,marina_directory
EXISTING,11062,Bay Bridge Marina in,,,12408 7th St,Lillian,Alabama,36549-4033,US,,,,,Less than 100,,,,1,,,,,false,,,,,,,,,marina_directory
EXISTING,8133,Wedowee Marine South in,,,9681 Hwy 48,Lineville,Alabama,36266,US,,,,,Less than 100,,,,58,,,,,false,,,,,,,,,marina_directory
EXISTING,1404,Prairie Creek Park Campgrounds in,,,582 Prairie Creek Rd,Lowndesboro,Alabama,36752,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,7280,Beachcomber Marina in,,,6100 Dauphin Island Parkway,Mobile,Alabama,36605,US,,,,,Less than 100,,,,83,,,,,false,,,,,,,,,marina_directory
EXISTING,7483,Buccaneer Yacht Club in,,,4381 Park Rd,Mobile,Alabama,36605-9671,US,,,,,Less than 100,,,,75,,,,,false,,,,,,,,,marina_directory
EXISTING,11002,Convention Center Courtesy Dock in,,,1 S Water St,Mobile,Alabama,36602,US,,,,,Less than 100,,,,2,,,,,false,,,,,,,,,marina_directory
EXISTING,6990,Dog River Marina in,,,5004 Dauphin Island Pkwy,Mobile,Alabama,36605-9644,US,,,,,Less than 100,,,,97,,,,,false,,,,,,,,,marina_directory
EXISTING,7660,Grand Mariner Marina & Restaurant in,,,6036 Rock Point Road,Mobile,Alabama,36605,US,,,,,Less than 100,,,,70,,,,,false,,,,,,,,,marina_directory
EXISTING,6545,Mobile Yacht Club in,,,4925 Marina Drive North,Mobile,Alabama,36605,US,,,,,100 to 300,,,,120,,,,,false,,,,,,,,,marina_directory
EXISTING,7617,Reiver Yacht Basin Marina in,,,3620 Scenic Drive,Mobile,Alabama,36605,US,,,,,Less than 100,,,,72,,,,,false,,,,,,,,,marina_directory
EXISTING,8843,Southern Marina & Harbor in,,,4514 Dauphin Island Pkwy,Mobile,Alabama,36605-9748,US,,,,,Less than 100,,,,40,,,,,false,,,,,,,,,marina_directory
EXISTING,7484,Sundowner Marina in,,,4910 Marina Dr,Mobile,Alabama,36605,US,,,,,Less than 100,,,,75,,,,,false,,,,,,,,,marina_directory
EXISTING,6358,Turner Marine Supply in,,,5010 Dauphin Island Pkwy.,Mobile,Alabama,36605,US,,,,,100 to 300,,,,135,,,,,false,,,,,,,,,marina_directory
EXISTING,8577,Montgomery Marina in,,,911 Lenora St,Montgomery,Alabama,36104,US,,,,,Less than 100,,,,48,,,,,false,,,,,,,,,marina_directory
EXISTING,9252,Steenson Hollow Marina in,,,700 Tennessee River Dr,Muscle Shoals,Alabama,35661,US,,,,,Less than 100,,,,32,,,,,false,,,,,,,,,marina_directory
EXISTING,6768,Riverwalk Marina in,,,3755 Highway 31,N Decatur,Alabama,35601,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,9864,Blue Heron Marina in,,,13458 N River Farm Dr,Northport,Alabama,35473,US,,,,,Less than 100,,,,20,,,,,false,,,,,,,,,marina_directory
EXISTING,9325,Bob's Campground & Marina in,,,15183 Marina Drive,Northport,Alabama,35475,US,,,,,Less than 100,,,,30,,,,,false,,,,,,,,,marina_directory
EXISTING,7321,Pier 43 on Lake Tuscaloosa in,,,12175 Viewpoint Rd,Northport,Alabama,35475,US,,,,,Less than 100,,,,80,,,,,false,,,,,,,,,marina_directory
EXISTING,9866,Lakeshore Marina in,,,106 Lakeshore Ln,Ohatchee,Alabama,36271,US,,,,,Less than 100,,,,20,,,,,false,,,,,,,,,marina_directory
EXISTING,7263,Bear Point Harbor in,,,5749 Bay La Launch Ave,Orange Beach,Alabama,36561-4138,US,,,,,Less than 100,,,,84,,,,,false,,,,,,,,,marina_directory
EXISTING,9486,Caribe Marina  in,,,28101 Perdido Beach Blvd,Orange Beach,Alabama,36561,US,,,,,Less than 100,,,,29,,,,,false,,,,,,,,,marina_directory
EXISTING,1410,Caribe Marina Resort in,,,28103 Perdido Beach Blvd,Orange Beach,Alabama,36561,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,11061,Griffith's Marina in,,,27006 East Canal Road,Orange Beach,Alabama,36561,US,,,,,Less than 100,,,,1,,,,,false,,,,,,,,,marina_directory
EXISTING,10506,Happy Harbor Sun Harbor Marina in,,,27212 Marina Road,Orange Beach,Alabama,36561,US,,,,,Less than 100,,,,10,,,,,false,,,,,,,,,marina_directory
EXISTING,8719,Heritage Motor Coach Resort & Marina in,,,28888 Canal Road,Orange Beach,Alabama,36561,US,,,,,Less than 100,,,,44,,,,,false,,,,,,,,,marina_directory
EXISTING,9251,Hudson Marina in,,,4575 Wilson Blvd,Orange Beach,Alabama,36561,US,,,,,Less than 100,,,,32,,,,,false,,,,,,,,,marina_directory
EXISTING,9250,Hudson Marina in,,,28341 Burkart Dr,Orange Beach,Alabama,36561,US,,,,,Less than 100,,,,32,,,,,false,,,,,,,,,marina_directory
EXISTING,5971,Orange Beach Marina in,,,27075 Marina Road,Orange Beach,Alabama,36561,US,,,,,100 to 300,,,,161,,,,,false,,,,,,,,,marina_directory
EXISTING,8367,Reel Surprise Marina in,,,27267 Perdido Beach Blvd,Orange Beach,Alabama,36561-8213,US,,,,,Less than 100,,,,50,,,,,false,,,,,,,,,marina_directory
EXISTING,5490,Romar Harbor Marina in,,,26350 Cotton Bayou Dr,Orange Beach,Alabama,36561-3513,US,,,,,100 to 300,,,,216,,,,,false,,,,,,,,,marina_directory
EXISTING,419,Safe Harbor Sportsman in,,,27844 Canal Rd,Orange Beach,Alabama,36561-4009,US,,,,,100 to 300,,,,100,,,,,false,,,,,,,,,marina_directory
EXISTING,6769,Saunders Marine Center in,,,27075 Marina Rd.,Orange Beach,Alabama,36561,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,5562,The Wharf Marina in,,,4851 Wharf Parkway,Orange Beach,Alabama,36561,US,,,,,100 to 300,,,,200,,,,,false,,,,,,,,,marina_directory
EXISTING,10328,Trent Marina in,,,1000 Walter Trent Ln,Orange Beach,Alabama,365610000,US,,,,,Less than 100,,,,14,,,,,false,,,,,,,,,marina_directory
EXISTING,8368,Zeke's Landing Marina in,,,26619 Perdido Beach Blvd,Orange Beach,Alabama,36561-3187,US,,,,,Less than 100,,,,50,,,,,false,,,,,,,,,marina_directory
EXISTING,8650,Highway 125 Marina in,,,159 Lake Front Pt,Peel,Alabama,72668,US,,,,,Less than 100,,,,45,,,,,false,,,,,,,,,marina_directory
EXISTING,9321,Marriott Grand Hotel Marina in,,,One Grand Blvd,Point Clear,Alabama,36564,US,,,,,Less than 100,,,,30,,,,,false,,,,,,,,,marina_directory
EXISTING,10073,Godfrey's Marina in,,,1290 Whorton Bend Rd,Rainbow City,Alabama,35906,US,,,,,Less than 100,,,,18,,,,,false,,,,,,,,,marina_directory
EXISTING,1401,Alan Battle's Riverside Marina in,,,101 Marina St,Riverside,Alabama,35135,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,5778,Joe Wheeler State Park in,,,201 McLean Dr,Rogersville,Alabama,35652,US,,,,,100 to 300,,,,184,,,,,false,,,,,,,,,marina_directory
EXISTING,5414,Goose Pond Marina in,,,417 Ed Hembree Dr,Scottsboro,Alabama,35769,US,,,,,100 to 300,,,,234,,,,,false,,,,,,,,,marina_directory
EXISTING,1399,Lakeshore Watercraft Rental & Store in,,,2300 County Park Rd,Scottsboro,Alabama,35769,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,172,The Sandbar in,,,1 Marina Dr,Selma,Alabama,36701,US,,,,,Less than 100,,,,6,,,,,false,,,,,,,,,marina_directory
EXISTING,10401,Bozo's Fish Camp in,,,525 Highway 402,Shelby,Alabama,35143,US,,,,,Less than 100,,,,12,,,,,false,,,,,,,,,marina_directory
EXISTING,1394,LaCoosa Marina in,,,150 Lake Shore Dr,Shelby,Alabama,35143,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1402,Bobby Dahlberg's Fish Camp in,,,686 Bobbys Camp Rd,Silas,Alabama,36919,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,6766,Bobby's Fish Camp in,,,686 Bobbys Camp Rd,Silas,Alabama,36919,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,1398,Bobby's Fish Camp in,,,686 Bobbys Camp Rd,Silas,Alabama,36919,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,6770,Lakeside Landing RV Resort and Marina in,,,4600 Highway 231,South Cropwell,Alabama,35054,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,6771,Poor House Branch Marina in,,,7062 Stemley Road,Talladega,Alabama,35160,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,7974,Fowl River Marina in,,,11799 Dauphin Island Parkway,Theodore,Alabama,36582,US,,,,,Less than 100,,,,61,,,,,false,,,,,,,,,marina_directory
EXISTING,8846,Lake Jordan Marina in,,,789 Lakeland Dr,Titus,Alabama,36080,US,,,,,Less than 100,,,,40,,,,,false,,,,,,,,,marina_directory
EXISTING,9863,Blue Creek Marina in,,,1151 County Road 546,Verbena,Alabama,36091,US,,,,,Less than 100,,,,20,,,,,false,,,,,,,,,marina_directory
EXISTING,9708,Birmingham Sailing Club in,,,147 Merrill Rd,Vincent,Alabama,35178,US,,,,,Less than 100,,,,24,,,,,false,,,,,,,,,marina_directory
EXISTING,7984,Wedowee Marine in,,,21130 Hwy 431,Wedowee,Alabama,36278,US,,,,,Less than 100,,,,60,,,,,false,,,,,,,,,marina_directory
EXISTING,7803,Angoon Oil and Gas in,,,,Angoon,Alaska,99820,US,,,,,Less than 100,,,,66,,,,,false,,,,,,,,,marina_directory
EXISTING,8720,Big Lake Powersports in,,,5120 S Big Lake Rd,Big Lake,Alaska,97035,US,,,,,Less than 100,,,,44,,,,,false,,,,,,,,,marina_directory
EXISTING,5845,Burkeshore Marina in,,,3610 Burkeshore Dr,Big Lake,Alaska,99652,US,,,,,100 to 300,,,,178,,,,,false,,,,,,,,,marina_directory
EXISTING,4726,Cordova Harbor and Port in,,,114 Nicholoff Way,Cordova,Alaska,99574,US,,,,,700 to 900,,,,727,,,,,false,,,,,,,,,marina_directory
EXISTING,4725,Cordova Small Boat Harbor in,,,114 Nicholoff Way,Cordova,Alaska,99574,US,,,,,700 to 900,,,,727,,,,,false,,,,,,,,,marina_directory
EXISTING,7173,Craig Harbor in,,,,Craig,Alaska,99921,US,,,,,Less than 100,,,,88,,,,,false,,,,,,,,,marina_directory
EXISTING,11063,Petro Marine Craig in,,,110 J.T. Brown St.,Craig,Alaska,99921,US,,,,,Less than 100,,,,1,,,,,false,,,,,,,,,marina_directory
EXISTING,6042,Douglas Harbor in,,,120 Savikko Rd,Douglas,Alaska,99824,US,,,,,100 to 300,,,,156,,,,,false,,,,,,,,,marina_directory
EXISTING,8312,Carl E. Moses Boat Harbor in,,,Henry Swanson Drive,Dutch Harbor,Alaska,99692,US,,,,,Less than 100,,,,52,,,,,false,,,,,,,,,marina_directory
EXISTING,10687,Elfin Cove Inner Harbor in,,,,Elfin Cove,Alaska,99825,US,,,,,Less than 100,,,,8,,,,,false,,,,,,,,,marina_directory
EXISTING,11065,Elfin Cove Outer Harbor in,,,,Elfin Cove,Alaska,99825,US,,,,,Less than 100,,,,1,,,,,false,,,,,,,,,marina_directory
EXISTING,1422,Glacier Bay Lodge Visitor Center in,,,,Gustavus,Alaska,99826,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,6724,Haines Small Boat Harbor in,,,,Haines,Alaska,99827,US,,,,,100 to 300,,,,110,,,,,false,,,,,,,,,marina_directory
EXISTING,4705,City of Homer Port and Harbor in,,,4350 Homer Spit Rd,Homer,Alaska,99603,US,,,,,700 to 900,,,,834,,,,,false,,,,,,,,,marina_directory
EXISTING,1419,Petro Marine Homer in,,,4755 Homer Spit Road,Homer,Alaska,99603,US,,,,,marina,,,,,,,,,false,,,,,,,,,marina_directory
EXISTING,4994,City of Hoonah Boat Harbor in,,,320 Harbor Drive,Hoonah,Alaska,99829,US,,,,,300 to 500,,,,350,,,,,false,,,,,,,,,marina_directory
EXISTING,250,Auke Bay Statter Harbor in,,,"11497, Auke Bay Harbor Rd",Juneau,Alaska,99801,US,,,,,100 to 300,,,,172,,,,,false,,,,,,,,test 123,marina_directory
EXISTING,4984,Aurora Harbor in,,,1600 Harbor Way,Juneau,Alaska,99801,US,,,,,300 to 500,,,,360,,,,,false,,,,,,,,,marina_directory
EXISTING,9328,Donohue's Marina in,,,18216 Point Stephens Rd,Juneau,Alaska,99801,US,,,,,Less than 100,,,,30,,,,,false,,,,,,,,,marina_directory
